ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
89,caf74527-e396-460c-8bb8-d5de9c597974,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7093999069982,38.2318159891649
90,73bd8af6-9d55-43f8-9216-06c4fdb9ce7b,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7090061019084,38.2319034901827
91,2c7bf60b-6ef7-4d8d-8099-890d55139d8c,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7086985556298,38.2315863938474
92,f448aa00-9d40-470a-9960-8a8cdab9420c,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7075099877424,38.2312310330309
93,aede1408-7b20-41f8-bd7a-6e3ef444fbff,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7073625774586,38.2311049385859
94,6f514028-12c7-443a-a41b-e467dbc9936d,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7054942753964,38.230666300515
95,e9ce2be4-9b3e-4c1e-88c7-7d2f5c357256,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7054047566705,38.2309267111479
96,d877665e-2df7-41f6-95c6-adaa662ac0d1,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7040987277786,38.2300435182704
97,517a4f22-4782-4878-a2ff-c9e2d6602491,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7021621369394,38.2287781461908
98,1db14543-78c7-4fa1-8eb5-50d9c0f10bc4,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6999688257058,38.2275039624001
99,9535a1a1-7509-4ca0-8271-41f7d920f084,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6975378753511,38.22591257993
100,342b20ff-0e33-4eea-adae-ff68f4237e70,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6969137211197,38.2256284682436
